eventid,timestamp,src_ip,dst_ip,session,duration
cowrie.session.connect,2021-02-12 10:51:11.892235+00:00,146.64.171.59,155.232.195.82,764f287c8bd8,
cowrie.client.version,2021-02-12 10:51:11.895185+00:00,146.64.171.59,,764f287c8bd8,
cowrie.client.kex,2021-02-12 10:51:11.898078+00:00,146.64.171.59,,764f287c8bd8,
cowrie.session.connect,2021-02-12 10:52:13.602917+00:00,146.64.171.59,155.232.195.82,052c8cf63071,
cowrie.client.version,2021-02-12 10:52:13.604231+00:00,146.64.171.59,,052c8cf63071,
cowrie.client.kex,2021-02-12 10:52:13.609347+00:00,146.64.171.59,,052c8cf63071,
cowrie.login.success,2021-02-12 10:52:21.607296+00:00,146.64.171.59,,052c8cf63071,
cowrie.client.size,2021-02-12 10:52:21.686770+00:00,146.64.171.59,,052c8cf63071,
cowrie.session.params,2021-02-12 10:52:21.697407+00:00,146.64.171.59,,052c8cf63071,
cowrie.command.input,2021-02-12 10:52:26.678540+00:00,146.64.171.59,,052c8cf63071,
cowrie.command.input,2021-02-12 10:52:29.215098+00:00,146.64.171.59,,052c8cf63071,
cowrie.log.closed,2021-02-12 10:52:29.217457+00:00,146.64.171.59,,052c8cf63071,7.5294365882873535
cowrie.session.closed,2021-02-12 10:52:29.220584+00:00,146.64.171.59,,052c8cf63071,15.61643385887146
cowrie.session.connect,2021-02-12 10:52:36.442704+00:00,146.64.171.59,155.232.195.82,defb6d5f6658,
cowrie.client.version,2021-02-12 10:52:36.444708+00:00,146.64.171.59,,defb6d5f6658,
cowrie.client.kex,2021-02-12 10:52:36.447469+00:00,146.64.171.59,,defb6d5f6658,
cowrie.session.closed,2021-02-12 10:52:41.723780+00:00,146.64.171.59,,defb6d5f6658,5.2795090675354
cowrie.session.closed,2021-02-12 10:53:11.924818+00:00,146.64.171.59,,764f287c8bd8,120.03089618682861
cowrie.session.connect,2021-02-12 10:56:48.043875+00:00,103.210.50.128,155.232.195.83,a78cba0a3d39,
cowrie.session.connect,2021-02-12 10:56:48.045286+00:00,103.210.50.128,155.232.195.82,2740d76ac02a,
cowrie.session.closed,2021-02-12 10:56:53.607360+00:00,103.210.50.128,,2740d76ac02a,5.560997486114502
cowrie.session.closed,2021-02-12 10:56:53.608760+00:00,103.210.50.128,,a78cba0a3d39,5.563720941543579
cowrie.session.connect,2021-02-12 10:57:03.658949+00:00,103.210.50.128,155.232.195.83,493551921d7e,
